--target target
--mode classify
--classifiers knn lgbm rf lr sgd mlp svm dummy
--regressors knn lgbm rf elastic sgd mlp svm dummy
--feat-select filter embed wrap
--embed-select lgbm linear
--wrapper-select step-up
--wrapper-model linear
--norm robust
--nan drop median
--filter-method assoc pred
--filter-assoc-cont-classify mut_info
--filter-assoc-cat-classify mut_info
--filter-assoc-cont-regress mut_info
--filter-assoc-cat-regress mut_info
--filter-pred-regress mae
--filter-pred-classify acc
--htune-trials 50
--htune-cls-metric acc
--htune-reg-metric mae
--test-val-size 0.4
--outdir ./df_analyze_results

f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,target
0.14786240412714458,0.651619361605996,-0.712744990946923,0.8975414146142681,-0.2647233031680083,-0.19716244305801991,-1.428900833604867,-0.5771264080395834,1.534996225809291,0.08148374261332451,-0.031274677563397635,0.6716113047896098,0.1283035434147938,-0.24419121963981524,0.7342912905366382,0.7779460361512992,0.5587261831346537,-0.2950050558562605,-0.06717785547046884,-0.03290504397202558,-0.6500246390990402,0.9948646603406281,0.8955781157541028,-0.8046703407716023,1.4325699952596762,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
1.7623219263749417,-0.3146329099993916,0.10369599822361124,2.359329710753128,0.5850598910464071,-0.66415276101722,-1.6571779075924828,-0.6948408617036457,0.47721105104090183,-1.2965473978604614,0.8469217427291733,0.04002457107328871,-1.4239457418204666,-0.5584344199867611,-0.04439414015628706,-0.7540841342265536,0.7033070637545641,0.3263773186087392,-1.2711854800757179,-0.3951273437304875,0.6171608480390166,0.035719985778083295,-0.8684876048046587,-1.3130701345229923,-1.3208029098216174,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.33519371520946106,-1.04016848002566,-1.1940094961628878,-1.4019153022211448,-0.7523289025877271,0.8187017176561965,-1.5968164273063354,-0.4282610620358996,0.054716992782833866,0.24105363378378275,0.25906679942652044,-1.4023435754094464,-0.5960393002241084,-0.0012840477574143127,-0.13892478514652556,-0.9856065891499068,-1.1440527838886494,0.1022659674777109,-0.06249373913617197,-1.2723212823844485,0.6977981766595422,0.3607958522039655,1.3572707889668443,-0.7163097307155999,0.5603605625588959,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-1.6429874251876257,0.702511495142721,1.7713495008609,1.2839537523598747,-0.007935483785576543,-0.2968235360584427,1.9351178937355413,-1.057915893246806,-0.25318393336779027,-1.3863693359551172,-0.3742574270899112,0.21184425856511352,-0.4606586178414809,-0.6845547692235471,-1.8978035114735818,-1.5047926653733041,1.885065926518288,0.18654547480216982,-0.549102983709356,-1.0954733138718218,1.4810551472454894,-0.2708696987549416,-0.37150779699804903,-1.2673813284609317,0.35064868800537985,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.3152143307999127,-0.43526361578678474,0.8856131842800143,1.660206452059241,-0.09593475633042825,0.5604239820887915,1.1888184617293864,-1.0584265257031489,0.718136887173234,1.0484531634885368,-0.15443676195339973,0.2043763519335418,-0.3686104108955905,1.1089952728666699,-1.0790640757144923,0.12989958031667895,2.890483571244099,1.5434629222050675,0.4877941493546543,-0.11654856866106239,0.48896204402318005,-0.25912650916908786,-1.3694278410960474,0.7246060011150697,1.683539580472724,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-1.6959976553950735,0.617134765305102,-1.6156853785652974,0.4703223943067703,0.46909477740034083,1.498287145822529,-0.2035156415643976,0.5199069938859634,0.6601669314297178,-0.4586050029165478,0.3313481560701773,0.472183172050663,0.1496640355752505,0.6451697681042784,-0.6557854808857339,0.45262640810534943,0.3440326976761068,-1.4570287460077522,0.5003768104071473,-0.9399659053657545,0.29869105274020685,-0.41660237230127994,-0.5264161812441315,-0.5645850692554647,0.1332859956160721,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.4782881452578622,0.861630741864133,-0.9501467082569456,-0.8774764317944835,0.01363552333926972,-1.0599418516945367,-1.2693231064837438,-0.4635399614835675,0.5218411957137069,-0.6557781280140222,-0.3623792374043074,-1.0014455890998764,0.45058512325096595,1.4094684825394037,0.3513682622830973,0.6202260776252215,0.9849715301130431,1.055947824649171,-0.5938080808858738,-1.5583915471101732,0.9246579257417997,-0.7254862900378488,0.4300567540915858,1.082948522486865,0.32474298382698663,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.27870727970705766,-0.8081337104869116,-0.5376625359440056,-0.2480036469877615,0.7668069718922049,0.42702014269650096,0.6256787961589072,-0.4333930933947913,0.884593805904971,0.2489860997069099,0.9534336393366507,0.2526180325638965,1.5113805910681177,-0.2136984264391681,0.9888589067660108,-1.6348885668285909,-2.0578265064168684,1.162194721721927,-1.276554563498912,0.24411101778446984,-0.7086573763033647,0.12156208772380098,0.25620585866312945,0.6293356580264431,-0.9254765588740335,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.3646844501861983,0.9182381647086654,-0.31229782830745584,-0.6295350464004823,0.7425635710667277,-0.4550843016807301,-0.7541380815022781,1.9344751761115775,-0.29154145626428685,0.5974330188679767,0.379299117055863,0.6451032451350311,-0.23793258287976568,0.15649449428543571,-1.6636420210181746,-0.1482559143114926,0.8610018090245786,0.5630308686855131,0.9229022254948814,0.4538255159971073,0.3939538834866871,0.2730787498634337,0.8607506619247718,-0.3499298634494431,1.9656986419127516,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.864612606885164,0.49533221445783276,-0.0909088101890566,-1.2414610466691605,1.2525763019535525,0.2599106997244896,0.6247025667963721,-1.112207790602135,0.15848692658016056,-1.9589165055452658,2.0020572994184773,-0.9106719566834753,0.5117974886545403,0.11037298059685174,-0.4485587862065352,3.1628381429200005,-0.7457977759214527,-1.41254238503861,1.0185616021823554,0.7917897420337053,0.04745642617744813,-1.4607492352341038,-0.4101414878001067,1.3001384820501218,-0.13055943011153442,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.10351260098524376,1.5529422508148254,2.0617638099100546,0.062156622187318156,-0.11872109791228691,0.19517826714041026,-0.8583040524924014,0.6243596087086855,-0.20013955206408401,0.6757452343174268,0.8572234380187805,-0.29280415493399403,-1.5478160093812166,0.4613597297972321,-1.613168881780991,-2.0955176373406643,-1.7131390940621056,1.4239593020622956,1.3700360394440632,-0.7249412322031039,-0.10919265272143712,0.08272425873637669,2.1996696955831667,2.003428358421855,2.5687408939876577,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.15254943738794927,0.7769985607412456,0.020537105462079732,1.432279977732983,-0.13035738573303338,-0.4194670022406561,-0.03895654618234374,-0.5068692392596502,0.10880397527864746,1.0922827277811726,-0.8569886479062222,-0.00483502354225609,-1.229145620261707,0.23668313098167856,-1.085082220447385,0.6867825991128705,-0.2552432366886832,-0.8072637085460901,1.0373384943634802,-1.0840168791053986,0.047081425606783585,-0.6226496680876742,0.05193801217698989,0.09600964279823901,-1.533432011862084,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.6895676757744841,0.5741860986199105,1.307147603810183,-0.23286370361062417,0.6705167965957652,0.786157396189823,-0.1854599048532109,0.3997829345946888,-0.40947113219642134,-1.6803337205806517,-0.60069061872985,1.020498156905898,-0.3094176939182716,-0.863203086968848,-0.6365272382730502,1.210234075853917,-1.0116620506105092,-1.4327675177299632,0.779713197461131,-0.29138303546717176,-0.1839402113374513,0.8211803164966748,0.8290099235609121,1.211149500496717,0.4291169999067122,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.555709957060694,0.5614502901126565,-2.229214921123237,2.300106234961239,0.6873933198948453,0.07739481999505404,0.7411688610743962,1.2556718768176731,-0.24645138451057755,0.24780034110546306,1.5847676528972883,-1.2183918579765771,-0.025023243491862777,-0.05265189483005921,2.1384276369206714,1.635530657526802,-0.00919242294385425,-0.5066499451917449,0.48112078444049156,1.538647193580114,-0.5967933188317287,2.9769542715039945,-0.5096393195891644,0.9616482357441825,-3.2656394041808836,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.08158476483466545,-0.12532895712463635,-0.33858539702871737,-0.09454961939015853,0.14168231227412412,-0.6665400748228257,2.2932575008364435,-0.2264528657230095,1.6123421159256746,0.0475958350342639,-0.40491303425233394,0.6768787092590908,-1.8028195210701399,-1.0148035776368531,0.1917092313151102,-2.057835709070638,0.39599619912710105,-0.16000354172508874,1.6627423344638714,-0.3714736394065353,-1.7529836005432138,-1.9839398294678865,-1.2652232898579554,-1.4601367474788047,-0.6729460571946969,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.03528747384159796,-0.28431468160486495,1.2595737806532439,-0.9695858176991679,-0.8039668425453509,-0.5390654325734237,-0.4113285600835228,-0.5533745889184561,2.4773606979067653,3.3031867456033646,1.0535761120844627,-0.21372920447439134,0.6965016491688096,-0.814317113897596,-0.25548630326705657,1.1698467714519234,1.5594962711980593,0.0023570565179384805,0.3975161487812625,0.3902579222970422,0.10384111761226288,-0.16658630976833802,2.023888962954571,0.18208241796841465,0.015230416596069617,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.47023628161709435,-0.07509257047457454,0.18964218833549398,-1.0011959457944737,0.10412073695104712,0.29138368614565024,-0.8954770210133148,1.0224340248373622,-0.3223921466858379,0.4877949785584407,-1.34218742281166,1.1520207207501383,-0.17420845397766185,-1.1231906305284907,2.295726099573141,-1.0486854364485647,-0.46221213384310195,-1.7363343558839648,0.30256777590279404,0.8841904300495348,1.380792867813818,-1.0232624160156933,-0.07492534198824889,-0.10215260045753789,0.151948546620753,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.6807005931955872,0.42064863711296263,0.5742799579148956,-0.37122304284298857,0.7669126714828717,-1.198409125273751,-0.46153460167198523,0.004255429804578848,1.7030328811023188,-1.0993924710041234,0.40279957057476307,-0.331105195081801,0.4644799305948841,0.02072709083646778,0.17482318334077318,-0.2855905338805672,0.39043757954047786,2.197138511995949,0.6473196126930842,-0.38456781190583406,-1.2314061653701587,-0.12544326665900377,0.7301902553439079,-1.1197336168095084,1.2886131451173861,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.40652215803122704,0.5937345491925735,-0.7108983839540192,-1.4787377330270406,-0.26445690854940035,-0.32111227078655324,1.0657743597593634,0.01645924272737839,-2.2119520222204616,1.4800753545892793,-0.6046257425294398,0.7433530326706489,0.6592221393045905,0.37428239220949167,-0.037102779036464834,-1.2688649928808367,1.6931115885684527,-0.7725771533784459,-1.1142260690986048,-1.863276428662257,0.7965854423790382,-0.4495820181176537,0.41961535925297166,0.7112340941993919,-0.29813692577985423,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.64412397958762,-0.11065082324513253,-0.8047519844831627,0.8288723028201173,-0.26166376739524894,-1.2748397192250132,0.48691400115087685,0.691804176100957,-0.2611159804263264,-0.5719659792529764,1.4745721924701367,1.9107923692034512,-0.7559077833725407,-0.42489781943705374,-0.999848494967253,0.18181573694617967,0.2903246092507987,-0.34577088178665605,0.24061968089461755,-2.0598698560586,0.288089583825307,0.2974513134397162,0.1681134493304689,-0.8051055760386668,-0.5221862162714649,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-1.3383422689288056,1.0562777594961144,1.436818418590224,0.5260147255205854,0.9225534919925671,1.3356639946246265,-0.2142193085673771,0.5461651761167663,-0.29796685552043056,0.569150474730124,0.3448407675897815,-0.5021155571646689,0.6695846982137633,0.7192260528596893,0.9947782691236294,0.08456900982837859,0.5759067273255222,-2.0453279937091513,1.1822778772746678,0.24636192939450768,0.8549244961644935,0.8634007372236681,1.134746552628245,1.0930393068840054,1.1177352996231242,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.679374701504857,-0.9713133721932276,-0.571347975576954,-0.1506067383267709,0.33819154298066273,-0.3881630425550781,0.7812270214282822,1.04514531333435,-0.3248640665026385,-0.8862772969199982,-1.4382180501288873,-0.4723358464879441,-0.004233025934767565,1.080634655819818,-0.3767299534208573,-0.3481806376047812,0.769210633580179,1.2692194627432063,0.35608495135485546,-0.45213627317910815,-1.2482658341054573,-0.12362949731511279,-0.7354733512101053,0.3164782471258256,0.9559132916210072,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.5561750006293342,-0.8581110885667431,-1.0842689237807677,-0.4793207794364277,-1.0293779561990135,0.8811626250609833,1.2561900077671089,-0.4627472690477217,0.6687209314382565,-0.19603235706718755,0.8306636240320313,0.9658862282875481,2.1853935511321225,-0.7837958464485204,0.6604473765559834,-0.5043477768035362,1.3682544126947196,-0.8763965463515462,-0.24756254119546586,-0.32242847646357164,-0.21759239450467696,1.1626941159051598,-0.7729052706936305,0.3678834188179005,-0.015714974741365132,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.43304943441204036,0.7660107056356646,-1.0876295513914753,0.0731085969337423,0.34157527260036513,0.2290405180664824,-1.3655109471387252,-0.6466434690286803,-0.18778479772683207,0.972296673073524,0.18891958311939203,0.07643939752269419,0.7613604119162967,-0.09200737673745245,0.9431035568869551,-0.5559615152990848,1.8343500488579318,-0.8954135010881697,1.3661616780389634,-0.5695794231762872,-0.7728286900592278,-0.9447574887161543,0.6768072565672033,0.056525963607680474,-0.2827939235468668,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
1.232123666646631,0.7955090277611072,0.7187908320130056,-0.03395255521614107,0.2980584738076231,0.42150124390160987,-0.9274341320342203,-0.17489360194804132,1.2679125298438123,-1.6642967998865625,-1.9937217399593514,-0.40427178329140206,2.0245516005553976,-0.19606766262561257,0.36726154901234,1.227648668856544,-0.2463364389565071,-0.011935643089865012,-0.02267121928126196,2.0317067863461276,-1.3584684551084596,0.7231369564701123,-0.7865302593507827,-0.7223607701628496,0.7806953361821163,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-1.2900273872255028,-0.68761766227089,-1.3496536241584056,-0.24361920587412075,1.0146767062472903,0.33828971806855485,-0.308885756255183,-0.2139647748218184,0.5230818238646526,-0.6962923657904535,0.005895160405232517,1.749839135634169,-1.898623822672311,0.9039099201950951,0.22819642209311544,1.3717646740364624,0.45109192050007113,-2.0137775517601866,1.1820948838174006,0.6757091723068548,-0.2660111661763354,-1.5980622587762385,1.4689048469194006,0.11624184914155866,-1.7033864202604438,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.48690039355565873,1.4701556697873626,0.008442885568076803,0.3772557918153998,-0.2918519520949771,0.1741445140259114,-0.485506672497043,0.0021700761294091353,-0.34197398291510145,-1.1899538089221873,0.3750098186710733,-2.127647750861467,1.579494195254438,-1.9394702638523407,1.2507306132215334,0.6875694628324079,0.08901178497341,0.7896660062671756,0.5958638979890208,0.5517792276727648,-0.626008930575166,-0.0643266234279802,-0.7885336907619117,-0.8357380832165574,0.5849311288148256,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.3249822321877101,-0.8675667393161277,0.1248060093693953,-1.6146851841689278,1.139221015773881,1.9981742385650223,0.190428803775071,-0.6402950212096088,1.125521328005889,-1.0898380001981345,2.087830010782145,0.2677493805108229,-0.2635615465643823,-1.295599794632061,0.1641555559078311,-1.7550662621421982,-0.5196978035851075,-0.8020238627448566,-1.2791721399983873,-0.9299384228032853,0.5973569529321725,-0.4387422964665945,0.2563515799474623,0.29235430636027704,0.5537902918411095,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.8779117531344707,-0.05161142485027927,-0.8694163972134271,1.0067364761801887,-3.0152297560058043,-0.6089082211388129,-0.46874077163314926,-1.1465706399212288,0.36262465167030533,1.0159703576577592,-0.4781032100856332,0.3584729058221452,0.9276554215520952,0.40140662780660313,-0.6024382669869399,0.9220034182831408,0.38097613305965217,0.6886890072356239,0.20547626383000625,-1.66060136144136,-0.5858140642106967,0.03725377918518057,0.3637633042476196,-0.48629131928986746,0.732334495087769,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.763968732175301,-1.224736197898284,0.16141209297498124,-0.337113645232752,0.2244913384211755,-0.5154454925418503,-0.8906794078017186,-1.0299038001368312,-0.08567543810552122,-0.758809542414854,1.0471635342404033,1.8819508641791232,1.6865637009727332,-1.5572846488784942,-0.21387490746683888,-0.3582651466981731,2.7589106658808658,0.04622089906609723,0.8153495166547257,-0.7858491847147135,-0.592387620832702,0.07469386234428815,-0.3300796516890569,-0.23732753007365184,-1.530751738776342,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.29200371693861027,2.1539473536429075,1.082339515385801,1.5947061892927774,-0.7223512208805676,0.8380234040797833,1.636671390008263,0.31481323528815336,0.026614232497989252,-0.5655273400991571,-1.671528278661319,-0.7909735624255083,-0.8000201280091386,0.5244099893950659,-0.18310655469290368,-0.6360075563753999,-1.5581776478984344,-0.39918466132107516,0.4442254194326973,0.6545616924737001,1.5959191715489691,0.11275669749581996,1.0748290786250974,1.6870501426201963,-1.8702682551889422,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
0.36596771630383884,1.0775350227112812,0.0839003661697019,0.8938173427727073,-0.3435327443387999,0.006060021467506515,1.3053803204762915,-0.3302762444267326,-0.5181148109340302,-1.9896921531865934,-0.9446974043522909,-0.02031344317913816,0.36388488851470163,0.029009430682098398,-0.44608709723490747,-0.6563501961367989,-0.4014243875798813,-0.5365913392534873,-1.3735034758480125,-0.17957864842206422,1.3567700012906314,-0.5199314561948536,0.508607756679419,-0.27617354632117247,-0.6772236476292699,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.8565002249159217,-0.02459179823184517,-0.7835237749947161,0.39773432526360314,-0.5920138749658268,0.8741679638041936,0.16758533481138835,1.1957325076934204,1.2285364452167953,2.1235178251738165,0.31702901371411424,-0.5660321415176053,0.6312908024758862,1.0735653200926227,-1.223100087190609,-1.1489203480145174,-1.5076710888017906,0.4313760064609494,1.4669218555800974,-1.9259614016743276,-0.6083317671659624,-0.08822834161151537,-0.8236863249057234,0.8582617587779512,1.171864244700984,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-0.15090360531540412,-1.1251773239807055,0.861031458955354,-0.6007839046619688,0.5464726885831266,-1.5486480904120294,-0.4373771103158904,-0.18341699562284394,0.6042626532205864,0.08351196841639563,-1.1526458758664484,-1.5049366024994486,1.6607741282087343,-0.772536591737446,1.441676587031578,1.300722376378061,1.323087021875837,1.033188521122364,0.13000275551854532,0.03935564663546973,0.42355403199198227,0.6300256394346502,0.37318831366945093,-0.5438707049414001,-1.004556885758503,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
2.9672652670095503,-0.6574705711662051,1.2786847683218232,0.27498599011810326,-2.748014370178156,-1.972403840204219,-0.772818723172193,0.6035834976577985,-0.2836588883026219,1.8573414577664622,-0.00807566492846685,1.0476517883796357,-1.9891873844206795,0.5999426640707591,-1.3089314614568521,-0.22978435184791435,-1.521651579844022,-0.6715262174016983,-0.08184936177508156,-1.1181354658065359,-0.938905492616057,-0.5157771071855454,-0.6602396733993261,1.3000139275079898,1.5776589614566354,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.6760818720855539,1.4872281535977365,1.4103135524678607,0.11034894013221216,-0.6868033613079667,-0.4437556822592714,-0.09709885238419608,0.5670438153890389,-0.4352497764219597,-1.0178167543090442,0.5219275358275542,-0.8542295129991123,0.09294919730092396,-0.23288298310546082,-0.2718250045657592,-0.2585216474805158,0.9489175392968889,-0.6968712300188864,0.10920013029587475,-1.089513661178667,0.4752282346971424,-1.0482136824268544,-0.10736412471847284,-1.101430403871833,1.507899770397865,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.15555929625053994,1.7463028746826768,1.1685121644115959,1.4327875550003488,1.2821550705762246,-1.6376026447835164,-1.089553415840542,-0.7478450844836647,0.6544618391275455,1.6246695731160714,0.5810890161902772,-1.260490635275876,-1.118005322857413,1.4648770391658517,-0.8151884041902536,1.0890282582871547,0.14564827493896645,0.316956605267239,1.8178337521056231,-0.8430384143398308,1.278020050757548,-0.2083000956590604,-0.4871372075962617,0.377948351967251,-1.7131607368356359,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
-1.5856464427267682,0.6377975240922873,-0.83668226796137,0.7233506596757953,-1.4631997967230943,0.1746376073406117,-0.20016299647477767,-1.906988891513825,-0.04787910637260293,0.27869570149056433,-1.8610288898961584,-0.048867578887889625,-1.6499175797328987,0.04005277733030037,-0.9789785685389943,0.7923662657185033,0.4537459367226984,2.1250503891948327,-0.6194947638693737,0.36188543087564706,-1.2727205328375184,-0.5372112802340614,-1.3624346012008317,0.555962672035447,-1.5506409572980004,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
0.22539323600845854,-0.28218308856428137,-0.31399797890431624,-1.0717261230759656,-0.42779350297606356,1.5632948604576422,-0.22448665668913906,-0.3059188742296913,-1.594039849628085,0.054505383673019776,0.03704017883903129,0.12306036984384668,0.9567197413031852,0.5333505547650516,0.9426937402606249,-0.8277846076952033,-1.6958977893790765,-0.009005589690099824,-1.6727018753646417,1.4648129268005345,-0.929339536762405,-0.4895348793099413,1.8247315384911151,-1.5642675201355307,-1.5983962461308099,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,0.0
-0.2962833670072217,-1.3249819474060232,-1.9573382461069155,-1.0633610673680844,-1.4268871486942243,0.6349637568995695,1.1909625957553773,0.07166761902493766,-0.38316719240709735,1.2637241547316598,-0.9827009058167345,-0.3267692989335762,-1.0930267555836388,0.4518774437832149,2.5471895421511617,-0.38127889765990836,1.1290319326949234,0.6157884034253044,2.8264881506035473,-0.28107477739382664,-0.02968823564013806,0.9409115356716252,1.4086557698553543,0.3401870378378347,-0.5776342951459305,9.0,12.0,0.0,1.0,4.0,11.0,1.0,3.0,10.0,0.0,1.0,10.0,12.0,4.0,1.0,8.0,5.0,2.0,7.0,5.0,1.0,5.0,8.0,6.0,8.0,1.0
